               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.023628,            0.020686,           0.0038111,             0.81176,             0.84294,             0.85368,             0.53038,            0.024033,            0.018931,           0.0031376,           0.0099936,           0.0099936,           0.0099936
                  36,            0.024009,            0.018703,           0.0029305,             0.88746,             0.75521,             0.81202,             0.48173,            0.023994,            0.019393,           0.0042575,           0.0099932,           0.0099932,           0.0099932
                  37,            0.023315,            0.018746,           0.0030409,             0.83298,             0.79527,             0.83543,             0.50624,            0.023906,            0.018742,           0.0057605,           0.0099928,           0.0099928,           0.0099928
                  38,            0.022939,            0.019653,           0.0032535,             0.88852,             0.81312,             0.85201,             0.50915,            0.023193,            0.018789,           0.0047591,           0.0099924,           0.0099924,           0.0099924
                  39,            0.021586,             0.01904,           0.0030152,              0.8996,             0.76317,             0.82895,             0.51502,            0.022826,             0.01911,           0.0043027,            0.009992,            0.009992,            0.009992
                  40,             0.02344,            0.019481,            0.002931,             0.90044,             0.78115,             0.83473,             0.52399,            0.024826,            0.018783,           0.0038062,           0.0099916,           0.0099916,           0.0099916
                  41,            0.022882,            0.021149,            0.002957,             0.87069,             0.81965,             0.83551,             0.50908,            0.025004,            0.018738,           0.0032684,           0.0099911,           0.0099911,           0.0099911
                  42,            0.023181,            0.019256,           0.0023851,              0.8789,             0.80809,             0.83119,              0.4719,            0.025316,             0.01921,           0.0031521,           0.0099907,           0.0099907,           0.0099907
                  43,            0.023157,            0.019461,           0.0028962,             0.89543,             0.80535,              0.8416,             0.54948,            0.024793,            0.018726,           0.0041551,           0.0099902,           0.0099902,           0.0099902
                  44,            0.023566,            0.017908,           0.0029486,             0.88298,             0.78598,             0.83531,             0.51834,            0.024796,             0.01875,           0.0035811,           0.0099897,           0.0099897,           0.0099897
                  45,            0.021882,            0.018927,           0.0033242,             0.89412,              0.7999,             0.81824,              0.5366,            0.023658,            0.018814,           0.0037546,           0.0099893,           0.0099893,           0.0099893
                  46,            0.022426,            0.019247,           0.0025608,             0.88571,             0.80709,             0.82916,              0.5246,            0.024484,            0.018572,           0.0035219,           0.0099888,           0.0099888,           0.0099888
                  47,            0.022918,             0.01876,            0.003039,             0.84817,             0.77692,             0.81345,             0.49555,            0.023491,            0.019202,           0.0036336,           0.0099883,           0.0099883,           0.0099883
                  48,            0.022723,            0.018088,           0.0024737,             0.84569,             0.81895,             0.82419,             0.52634,            0.023845,            0.018522,           0.0039904,           0.0099877,           0.0099877,           0.0099877
                  49,            0.022218,            0.018123,           0.0025278,             0.95686,             0.73954,             0.83899,             0.53242,            0.023317,            0.019122,           0.0040481,           0.0099872,           0.0099872,           0.0099872
                  50,            0.022742,            0.017219,           0.0026955,               0.861,             0.79391,             0.83319,             0.50537,            0.026737,            0.019154,           0.0053226,           0.0099867,           0.0099867,           0.0099867
                  51,             0.02316,            0.019101,           0.0030632,             0.89371,             0.79736,             0.84009,              0.5246,            0.023298,            0.018751,           0.0038369,           0.0099861,           0.0099861,           0.0099861
                  52,            0.021364,             0.01802,             0.00249,             0.89673,             0.81074,             0.84055,             0.50254,            0.024159,            0.019302,           0.0028974,           0.0099856,           0.0099856,           0.0099856
                  53,            0.021266,            0.017392,           0.0022294,             0.89818,             0.79912,             0.83388,             0.52472,            0.024378,            0.019188,           0.0031674,            0.009985,            0.009985,            0.009985
                  54,            0.021186,            0.017787,           0.0024064,             0.91849,             0.78024,             0.82997,             0.53782,            0.023419,             0.01871,           0.0028946,           0.0099844,           0.0099844,           0.0099844
                  55,            0.022117,            0.018352,           0.0028915,             0.91924,             0.81437,              0.8439,             0.54369,            0.022644,            0.018773,           0.0031457,           0.0099838,           0.0099838,           0.0099838
                  56,            0.020665,            0.017762,           0.0023427,             0.89482,              0.8299,             0.85629,             0.53655,              0.0232,            0.019569,           0.0026527,           0.0099832,           0.0099832,           0.0099832
                  57,            0.022761,            0.016821,           0.0027691,             0.76153,             0.80851,             0.80018,             0.47372,            0.024866,            0.019057,           0.0035136,           0.0099826,           0.0099826,           0.0099826
